Country,NAME,LAT,LONG,URL,LINE
USA,1490 Fulton Street (To Queens Only),-73.94135896,40.6797779,http://www.mta.info/nyct/service/,A-C
USA,311 7 Avenue (Uptown Only),-73.993138,40.74703633,http://www.mta.info/nyct/service/,2-Jan
USA,Nassau Pl & Averill Pl At Sw Corner,-74.2390068,40.51783269,http://www.mta.info/nyct/service/,@
USA,75 Richmond Terrace,-74.07671915,40.64472488,http://www.mta.info/nyct/service/,@
USA,295 Broadway (To Manhattan Only),-73.95801,40.70858933,http://www.mta.info/nyct/service/,J-M-Z
USA,166 6 Avenue,-74.003747,40.72558334,http://www.mta.info/nyct/service/,A-C-E
USA,701 Seneca Avenue,-73.907481,40.70283633,http://www.mta.info/nyct/service/,M
USA,82-01 Roosevelt Avenue,-73.883829,40.74781733,http://www.mta.info/nyct/service/,7
USA,47 Pine Street,-74.00887882,40.70679995,http://www.mta.info/nyct/service/,3-Feb
USA,1025 Longwood Avenue (To Manhattan Only),-73.896234,40.81655333,http://www.mta.info/nyct/service/,6
USA,573 Lafayette Avenue,-73.9516544,40.69002503,http://www.mta.info/nyct/service/,G
USA,180 Central Park West,-73.972918,40.78089533,http://www.mta.info/nyct/service/,A-C-B
USA,4761 Broadway,-73.927266,40.86575833,http://www.mta.info/nyct/service/,A
USA,39-16 111 Street,-73.856017,40.75169833,http://www.mta.info/nyct/service/,7
USA,418 Broadway,-74.001617,40.71947133,http://www.mta.info/nyct/service/,4-6-6 Express-J-Z-N-Q-R
USA,462 Flatbush Avenue (Enter From Lincoln Rd),-73.96204896,40.6608587,http://www.mta.info/nyct/service/,B-Q-S
USA,956 8 Avenue,-73.982815,40.76645233,http://www.mta.info/nyct/service/,1-2-A-C-B-D
USA,1720 Broadway,-73.911274,40.68318133,http://www.mta.info/nyct/service/,J-Z
USA,856 Fulton Street (To Queens Only),-73.96709508,40.68338859,http://www.mta.info/nyct/service/,A-C
USA,42-01 28 Street,-73.937979,40.74914333,http://www.mta.info/nyct/service/,E-M-R
USA,2154 Fulton Street,-73.910634,40.67805433,http://www.mta.info/nyct/service/,A-C
USA,1 Centre Street,-74.004099,40.71269933,http://www.mta.info/nyct/service/,4-5-6-6 Express-J-Z
USA,626 Manhattan Avenue,-73.950592,40.72371533,http://www.mta.info/nyct/service/,G
USA,344 Classon Avenue,-73.96014953,40.68876323,http://www.mta.info/nyct/service/,G
USA,40-33 21 Street,-73.942132,40.75406933,http://www.mta.info/nyct/service/,F
USA,1824 Broadway,-73.981717,40.76870133,http://www.mta.info/nyct/service/,1-2-A-C-B-D
USA,602 Marcy Avenue,-73.94908,40.69397933,http://www.mta.info/nyct/service/,G
USA,131 East 60 Street,-73.967637,40.76264133,http://www.mta.info/nyct/service/,4-5-6-6 Express-N-Q-R
USA,2137 Nostrand Avenue,-73.94750633,40.63303462,http://www.mta.info/nyct/service/,5-Feb
USA,70 6 Avenue (To Manhattan Only),-73.974763,40.68067533,http://www.mta.info/nyct/service/,2/3/04
USA,Nostrand Ave & Flatbush Ave At Nw Corner,-73.947928,40.63325133,http://www.mta.info/nyct/service/,5-Feb
USA,Nostrand Ave & Flatbush Ave At Ne Corner,-73.947506,40.63285833,http://www.mta.info/nyct/service/,5-Feb
USA,Nostrand Ave & Church Ave At Se Corner (To Manhattan Only),-73.949416,40.65066333,http://www.mta.info/nyct/service/,5-Feb
USA,Nostrand Ave & President St At Ne Corner,-73.950474,40.66812833,http://www.mta.info/nyct/service/,5-Feb
USA,Nostrand Ave & Eastern Pkwy At Se Corner,-73.950389,40.66980433,http://www.mta.info/nyct/service/,4-Mar
USA,Marcy Ave & Myrtle Ave At Nw Corner,-73.949423,40.69543933,http://www.mta.info/nyct/service/,G
USA,Schenectady Ave & Eastern Pkwy At Ne Corner,-73.933789,40.66902733,http://www.mta.info/nyct/service/,4-Mar
USA,Utica Ave & Eastern Pkwy At Se Corner,-73.93102884,40.66868047,http://www.mta.info/nyct/service/,4-Mar
USA,Broadway & Myrtle Ave At Nw Corner,-73.93545258,40.69685193,http://www.mta.info/nyct/service/,J-Z
USA,Bedford Ave & N 7th St At Se Corner,-73.957687,40.71771933,http://www.mta.info/nyct/service/,L
USA,Union Ave & Flushing Ave At Ne Corner (To Queens Only),-73.949913,40.69996633,http://www.mta.info/nyct/service/,G
USA,Hewes St & Broadway At Ne Corner,-73.952344,40.70662733,http://www.mta.info/nyct/service/,J-M
USA,Union Ave & Metropolitan Ave At Se Corner,-73.951445,40.71376833,http://www.mta.info/nyct/service/,G-L
USA,Lorimer St & Broadway At Sw Corner,-73.946688,40.70331333,http://www.mta.info/nyct/service/,J-M
USA,Flushing Ave & Broadway At Se Corner,-73.94223515,40.70059523,http://www.mta.info/nyct/service/,J-M
USA,Manhattan Ave & Norman Ave At Nw Corner,-73.951906,40.72547833,http://www.mta.info/nyct/service/,G
USA,Manhattan Ave & Nassau Ave At Nw Corner,-73.950928,40.72381033,http://www.mta.info/nyct/service/,G
USA,Graham Ave & Metropolitan Ave At Se Corner (To Canarsie Only),-73.944248,40.71444933,http://www.mta.info/nyct/service/,L
USA,Grand St & Bushwick Ave At Ne Corner (To Canarsie Only),-73.940892,40.71203533,http://www.mta.info/nyct/service/,L
USA,Morgan Ave & Harrison Pl At Sw Corner,-73.931989,40.70623433,http://www.mta.info/nyct/service/,L
USA,Manhattan Ave & India St At Se Corner,-73.954415,40.73227033,http://www.mta.info/nyct/service/,G
USA,Rutland Rd & E. 98th St At Ne Corner,-73.922663,40.66493233,http://www.mta.info/nyct/service/,4-Mar
USA,Saratoga Ave & Livonia Ave At Ne Corner,-73.915345,40.66167533,http://www.mta.info/nyct/service/,4-Mar
USA,Glenwood Rd & Rockaway Pkwy At Nw Corner,-73.902498,40.64554533,http://www.mta.info/nyct/service/,L
USA,Ralph Ave & Fulton St At Se Corner,-73.92151693,40.6787143,http://www.mta.info/nyct/service/,A-C
USA,Hopkinson Ave & Fulton St At Nw Corner,-73.91376868,40.67859262,http://www.mta.info/nyct/service/,A-C
USA,Palmetto St & Broadway At Sw Corner,-73.921565,40.68906833,http://www.mta.info/nyct/service/,J-Z
USA,Jefferson Ave & Broadway At Ne Corner,-73.917295,40.68693333,http://www.mta.info/nyct/service/,J
USA,Linden St & Broadway At Nw Corner,-73.922948,40.69014133,http://www.mta.info/nyct/service/,J-Z
USA,Snediker Ave & New York Ave At Sw Corner,-73.90280547,40.67569803,http://www.mta.info/nyct/service/,L
USA,Alabama Av & Fulton St At Se Corner,-73.899586,40.67676933,http://www.mta.info/nyct/service/,J
USA,Pennsylvania Ave & Liberty Ave At Sw Corner,-73.896669,40.67423933,http://www.mta.info/nyct/service/,A-C
USA,Lirr Bay Ridge Divide & Wilson Ave At Nw Corner,-73.90467904,40.6887876,http://www.mta.info/nyct/service/,L
