BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
FRANKLIN AVE00-00-00,267957524,267960938
34 ST-HERALD SQ01-03-02,1558739206,1558741063
34 ST-HERALD SQ01-03-02,1558736502,1558738413
FLATBUSH AVE01-00-01,1508984289,1508984802
125 ST00-00-03,2012304071,2012306388
14 ST00-00-00,1229208924,1229210640
FRANKLIN AVE00-00-00,267944876,267948854
42 ST-PA BUS TE00-00-04,50008357,50009788
JAMAICA-179 ST01-03-02,1291601036,1291601472
174 ST00-00-02,690355015,690355312
GRAND AV-NEWTON00-06-01,59488719,59490666
42 ST-TIMES SQ01-00-01,1894977755,1894978374
57 ST-7 AVE01-00-00,888900122,888902593
42 ST-PA BUS TE00-00-05,1559990900,1559993854
GRAND AV-NEWTON00-06-01,59499223,59500345
GRAND AV-NEWTON00-06-01,59500519,59501840
57 ST-7 AVE01-00-04,1895662239,1895663198
LEXINGTON-53 ST01-03-04,335309017,335311478
59 ST-COLUMBUS00-06-00,417590120,417590777
57 ST-7 AVE01-00-05,1224500085,1224500971
57 ST-7 AVE01-00-04,1895658376,1895659978
161 ST-YANKEE00-00-01,1401930287,1401932059
125 ST00-00-00,1694189089,1694191361
LEXINGTON AVE00-00-01,1761272832,1761276095
42 ST-PA BUS TE00-00-04,50006526,50008039
14 ST00-00-00,1229193553,1229195898
42 ST-TIMES SQ01-00-01,1894978585,1894979189
161 ST-YANKEE00-00-01,1401938280,1401939773
104 ST00-00-02,2026250573,2026250772
23 ST-6 AVE00-00-02,1827858250,1827860364
BROOKLYN BRIDGE00-03-04,1861319144,1861320577
14 ST00-00-00,1229202539,1229204818
42 ST-PA BUS TE00-00-08,419092650,419096425
125 ST00-00-03,2012298903,2012301228
57 ST-7 AVE01-00-04,1895656377,1895658087
LEXINGTON AVE00-00-01,1761284160,1761284733
57 ST-7 AVE01-00-00,888914737,888916012
174 ST00-00-02,690354512,690354949
23 ST-6 AVE00-00-02,1827868305,1827868523
125 ST00-00-00,1694196328,1694197541
57 ST-7 AVE01-00-05,1224488613,1224490749
EUCLID AVE00-00-02,1495201362,1495202143
149 ST-3 AVE01-00-02,1946105382,1946106558
BROOKLYN BRIDGE00-03-04,1861320964,1861322533
BEDFORD AVE00-06-03,837252897,837253604
BEDFORD AVE00-06-03,837247610,837249241
BROOKLYN BRIDGE00-03-04,1861315868,1861318844
23 ST-6 AVE00-00-02,1827863697,1827865511
14 ST00-00-00,1229205186,1229206542
174 ST00-00-02,690348621,690349971
161 ST-YANKEE00-00-01,1401932176,1401933815
CORTLANDT ST02-05-00,1058668440,1058668442
FLATBUSH AVE01-00-01,1508977950,1508979707
FRANKLIN AVE00-00-00,267965968,267968361
57 ST-7 AVE01-00-04,1895660169,1895660907
174 ST00-00-02,690350013,690351386
57 ST-7 AVE01-00-04,1895661073,1895661928
GRAND AV-NEWTON00-06-01,59497923,59499086
HOUSTON ST02-05-01,50331648,100663296
CORTLANDT ST02-05-00,1058668438,1058668440
104 ST00-00-02,2026248964,2026249336
42 ST-PA BUS TE00-00-04,49993975,49997699
125 ST00-00-03,2012301524,2012303713
174 ST00-00-02,690351423,690352701
161 ST-YANKEE00-00-01,1401940503,1401941402
JAMAICA-179 ST01-03-02,1291601497,1291601889
LEXINGTON-53 ST01-03-04,335318739,335319581
149 ST-3 AVE01-00-02,1946103985,1946105221
42 ST-PA BUS TE00-00-08,419111166,419112331
LEXINGTON-53 ST01-03-04,335314667,335316979
AVE U00-00-02,410,23549
CORTLANDT ST02-05-00,1058668442,1058668443
125 ST00-00-03,2012288188,2012292652
125 ST00-00-00,1694186550,1694188892
231 ST00-06-00,63,31367
57 ST-7 AVE01-00-05,1224498950,1224499816
57 ST-7 AVE01-00-04,1895654422,1895656086
42 ST-PA BUS TE00-00-08,419109619,419110930
