BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
42 ST-PA BUS TE00-00-04,49948374,49952146
125 ST00-00-00,1694167721,1694169050
42 ST-TIMES SQ01-00-01,1894945354,1894947445
42 ST-PA BUS TE00-00-05,1559964164,1559965233
LEXINGTON AVE00-00-01,1761236793,1761239961
42 ST-TIMES SQ01-00-01,1894940473,1894942472
59 ST-COLUMBUS00-06-00,417581476,417581817
42 ST-TIMES SQ01-00-01,1894950153,1894951911
59 ST-COLUMBUS00-06-00,417577212,417577979
161 ST-YANKEE00-00-01,1401915025,1401916415
FRANKLIN AVE00-00-00,267900580,267904427
174 ST00-00-02,690332585,690333960
JAY ST-METROTEC00-00-02,2315,8554036
42 ST-PA BUS TE00-00-08,419057316,419061391
FLATBUSH AVE01-00-01,1508958448,1508960172
JAMAICA-179 ST01-03-02,1291595801,1291596239
FLATBUSH AVE01-00-01,1508960237,1508962012
104 ST00-00-02,2026246275,2026246498
JAMAICA-179 ST01-03-02,1291597654,1291598039
42 ST-PA BUS TE00-00-04,49962609,49964311
BEDFORD AVE00-06-03,837233429,837234369
42 ST-PA BUS TE00-00-05,1559953582,1559956434
149 ST-3 AVE01-00-02,1946068946,1946071674
FLATBUSH AVE01-00-01,1508962095,1508963831
149 ST-3 AVE01-00-02,1946073206,1946074762
LEXINGTON-53 ST01-03-04,335276649,335279202
42 ST-PA BUS TE00-00-04,49960879,49962231
42 ST-TIMES SQ01-00-01,1894952130,1894952848
57 ST-7 AVE01-00-05,1224464743,1224466961
125 ST01-00-00,73911232,1728321639
125 ST00-00-00,1694158025,1694159921
57 ST-7 AVE01-00-04,1895627447,1895629131
161 ST-YANKEE00-00-01,1401908679,1401910824
LEXINGTON AVE00-00-01,1761247155,1761247608
138 ST-3 AVE00-00-01,489,138447
59 ST-COLUMBUS00-06-00,417579824,417580591
BROOKLYN BRIDGE00-03-04,1861274250,1861277612
GRAND AV-NEWTON00-06-01,59472410,59473745
14 ST00-00-00,1229167685,1229169916
104 ST00-00-02,2026244902,2026245271
149 ST-3 AVE01-00-02,1946065950,1946068786
57 ST-7 AVE01-00-00,888874599,888877207
57 ST-7 AVE01-00-04,1895638561,1895639647
42 ST-PA BUS TE00-00-08,419040067,419043730
LEXINGTON AVE00-00-01,1761229799,1761232676
57 ST-7 AVE01-00-04,1895631487,1895633215
42 ST-PA BUS TE00-00-08,419061757,419063115
FRANKLIN AVE00-00-00,267904741,267908560
104 ST00-00-02,2026245679,2026246072
59 ST-COLUMBUS00-06-00,417578143,417578845
JAMAICA-179 ST01-03-02,1291596738,1291597189
14 ST00-00-00,1229157999,1229160577
FLATBUSH AVE01-00-01,1508965599,1508966043
CORTLANDT ST02-05-00,1058668432,1058668433
BEDFORD AVE00-06-03,837230130,837231678
JFK JAMAICA CT100-03-01,888,11168
34 ST-HERALD SQ01-03-02,1558669992,1558673450
BEDFORD AVE00-06-03,837234637,837235724
EUCLID AVE00-00-02,1495181662,1495183084
174 ST00-00-02,690335425,690336809
125 ST00-00-03,2012224765,2012229220
34 ST-HERALD SQ01-03-02,1558667103,1558669030
59 ST-COLUMBUS00-06-00,417581936,417582316
23 ST-6 AVE00-00-02,1827833964,1827836218
57 ST-7 AVE01-00-04,1895637316,1895638215
23 ST-6 AVE00-00-02,1827839396,1827841510
161 ST-YANKEE00-00-01,1401913355,1401914916
LEXINGTON AVE00-00-01,1761247749,1761248321
42 ST-TIMES SQ01-00-01,1894953098,1894953967
125 ST00-00-03,2012244295,2012246925
34 ST-HERALD SQ01-03-02,1558678453,1558681682
57 ST-7 AVE01-00-05,1224456669,1224458813
LEXINGTON-53 ST01-03-04,335288817,335289743
EUCLID AVE00-00-02,1495183169,1495183675
149 ST-3 AVE01-00-02,1946062777,1946065766
JAMAICA-179 ST01-03-02,1291598055,1291598188
GRAND AV-NEWTON00-06-01,59466332,59468614
57 ST-7 AVE01-00-05,1224469757,1224470835
LEXINGTON AVE00-00-01,1761243902,1761247044
BROOKLYN BRIDGE00-03-04,1861277965,1861281029
125 ST00-00-03,2012215126,2012219423
59 ST-COLUMBUS00-06-00,417578992,417579661
LEXINGTON-53 ST00-05-00,1090865800,1541996594
42 ST-PA BUS TE00-00-05,1559959933,1559962981
161 ST-YANKEE00-00-01,1401904908,1401906736
FRANKLIN AVE00-00-00,267908847,267912595
149 ST-3 AVE01-00-02,1946071803,1946073011
BROOKLYN BRIDGE00-03-04,1861284576,1861286002
42 ST-PA BUS TE00-00-04,49939958,49943703
125 ST00-00-00,1694155539,1694157835
174 ST00-00-02,690339553,690340078
42 ST-PA BUS TE00-00-05,1559956612,1559959726
42 ST-TIMES SQ01-00-01,1894947851,1894949734
LEXINGTON-53 ST01-03-04,335287920,335288634
104 ST00-00-02,2026245290,2026245666
14 ST00-00-00,1229161344,1229163971
FRANKLIN AVE00-00-00,267912849,267915230
149 ST-3 AVE01-00-02,1946056558,1946059441
50 ST00-00-00,915,13592546
34 ST-HERALD SQ01-03-02,1558689006,1558690990
BROOKLYN BRIDGE00-03-04,1861267441,1861270225
125 ST00-00-03,2012240336,2012242787
EUCLID AVE00-00-02,1495178349,1495179876
42 ST-PA BUS TE00-00-08,419052805,419056967
EUCLID AVE00-00-02,1495179961,1495181535
57 ST-7 AVE01-00-04,1895633536,1895635250
EUCLID AVE00-00-02,1495175264,1495176758
34 ST-HERALD SQ01-03-02,1558674310,1558677731
GRAND AV-NEWTON00-06-01,59468738,59471013
104 ST00-00-02,2026246095,2026246242
GRAND AV-NEWTON00-06-01,59463881,59466210
GRAND AV-NEWTON00-06-01,59461347,59463741
57 ST-7 AVE01-00-04,1895629435,1895631177
14 ST00-00-00,1229154699,1229157334
JAMAICA-179 ST01-03-02,1291598211,1291598410
GRAND AV-NEWTON00-06-01,59458897,59461223
57 ST-7 AVE01-00-05,1224459282,1224461490
BEDFORD AVE00-06-03,837231842,837233262
42 ST-PA BUS TE00-00-08,419063455,419065055
EUCLID AVE00-00-02,1495176839,1495178263
57 ST-7 AVE01-00-04,1895635542,1895637133
23 ST-6 AVE00-00-02,1827841510,1827841511
