BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
LEXINGTON-53 ST01-03-04,335279607,335282174
LEXINGTON-53 ST01-03-04,335273752,335276190
149 ST-3 AVE01-00-02,1946059609,1946062572
BROOKLYN BRIDGE00-03-04,1861270656,1861273819
14 ST00-00-00,1229170334,1229172000
125 ST00-00-03,2012234382,2012238900
FRANKLIN AVE00-00-00,267915688,267918409
104 ST00-00-02,2026244054,2026244459
FRANKLIN AVE00-00-00,267896414,267900291
42 ST-PA BUS TE00-00-05,1559950337,1559953355
BEDFORD AVE00-06-03,837225151,837226575
59 ST-COLUMBUS00-06-00,417580715,417581393
42 ST-PA BUS TE00-00-04,49944051,49948023
23 ST-6 AVE00-00-02,1827829224,1827831541
FRANKLIN AVE00-00-00,267892257,267896083
42 ST-PA BUS TE00-00-05,1559947235,1559950131
23 ST-6 AVE00-00-02,1827836712,1827838943
23 ST-6 AVE00-00-02,1827831748,1827833441
34 ST-HERALD SQ01-03-02,1558686381,1558688250
BROOKLYN BRIDGE00-03-04,1861281361,1861284329
57 ST-7 AVE01-00-05,1224461982,1224464288
125 ST00-00-03,2012219839,2012224391
34 ST-HERALD SQ01-03-02,1558682473,1558685763
161 ST-YANKEE00-00-01,1401911586,1401913221
GRAND AV-NEWTON00-06-01,59471118,59472241
57 ST-7 AVE01-00-05,1224471246,1224472433
104 ST00-00-02,2026244476,2026244886
LEXINGTON AVE00-00-01,1761233150,1761236273
42 ST-PA BUS TE00-00-04,49956752,49960545
57 ST-7 AVE01-00-00,888871530,888874121
125 ST00-00-00,1694162728,1694165001
42 ST-TIMES SQ01-00-01,1894942861,1894944862
JAMAICA-179 ST01-03-02,1291597202,1291597629
96 ST01-00-01,1884,1717949
14 ST00-00-00,1229164670,1229167166
125 ST00-00-03,2012229634,2012234048
57 ST-7 AVE01-00-00,888879344,888880917
125 ST00-00-00,1694165157,1694167415
FLATBUSH AVE01-00-01,1508966095,1508966608
174 ST00-00-02,690334019,690335378
174 ST00-00-02,690338203,690339489
BEDFORD AVE00-06-03,837228383,837229914
FLATBUSH AVE01-00-01,1508956886,1508958373
57 ST-7 AVE01-00-00,888865072,888867782
FLATBUSH AVE01-00-01,1508963889,1508965559
125 ST00-00-00,1694169384,1694170870
42 ST-PA BUS TE00-00-05,1559963175,1559963932
57 ST-7 AVE01-00-00,888877529,888878923
57 ST-7 AVE01-00-00,888861873,888864482
42 ST-PA BUS TE00-00-08,419048403,419052437
LEXINGTON-53 ST01-03-04,335282590,335285152
BROOKLYN BRIDGE00-03-04,1861286396,1861287813
42 ST-PA BUS TE00-00-08,419044121,419048064
125 ST00-00-00,1694160125,1694162573
174 ST00-00-02,690336860,690338167
161 ST-YANKEE00-00-01,1401906854,1401908540
57 ST-7 AVE01-00-05,1224467358,1224469496
EUCLID AVE00-00-02,1495183675,1495184178
57 ST-7 AVE01-00-00,888868345,888871017
LEXINGTON-53 ST01-03-04,335285500,335287766
LEXINGTON AVE00-00-01,1761240477,1761243489
14 ST00-00-00,1229172500,1229174348
JAMAICA-179 ST01-03-02,1291596254,1291596725
42 ST-PA BUS TE00-00-04,49952463,49956450
BEDFORD AVE00-06-03,837226751,837228212
161 ST-YANKEE00-00-01,1401917196,1401918256
174 ST00-00-02,690340170,690340928
