BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
161 ST-YANKEE00-00-01,1401953537,1401954441
42 ST-TIMES SQ01-00-01,1894992037,1894992662
59 ST-COLUMBUS00-06-00,417593701,417594440
59 ST-COLUMBUS00-06-00,417592027,417592782
174 ST00-00-02,5067029,5067032
BEDFORD AVE00-06-03,837255611,837257034
LEXINGTON AVE00-00-01,1761299987,1761302861
CORTLANDT ST02-05-00,1058668444,1058668445
JAMAICA-179 ST01-03-02,1291604703,1291605154
42 ST-TIMES SQ01-00-01,1894980634,1894982456
104 ST00-00-02,2026253291,2026253457
LEXINGTON AVE00-00-01,1761303096,1761304208
57 ST-7 AVE01-00-04,1895674474,1895675414
14 ST00-00-00,1229223358,1229225686
125 ST00-00-03,2012331236,2012333446
GRAND AV-NEWTON00-06-01,59506836,59509186
23 ST-6 AVE00-00-02,1827885676,1827887083
BROOKLYN BRIDGE00-03-04,1861338791,1861339982
FRANKLIN AVE00-00-00,267976709,267980480
GRAND AV-NEWTON00-06-01,59504392,59506691
57 ST-7 AVE01-00-05,1224517038,1224518185
23 ST-6 AVE00-00-02,1827881444,1827883778
LEXINGTON-53 ST01-03-04,335328330,335330695
GRAND AV-NEWTON00-06-01,59502007,59504270
PAVONIA/NEWPORT00-00-05,10,259786
42 ST-TIMES SQ01-00-01,1894987773,1894989645
59 ST-COLUMBUS00-06-00,417594547,417595268
LEXINGTON-53 ST01-03-04,335331042,335333276
23 ST-6 AVE00-00-02,1827884087,1827885262
42 ST-PA BUS TE00-00-05,1560007208,1560010269
BROOKLYN BRIDGE00-03-04,1861336017,1861338517
BROOKLYN BRIDGE00-03-04,1861327486,1861330000
57 ST-7 AVE01-00-04,1895673501,1895674246
34 ST-HERALD SQ01-03-02,1558756183,1558758549
23 ST-6 AVE00-00-02,1827878599,1827880859
125 ST00-00-00,1694213420,1694214853
EUCLID AVE00-00-02,1495206850,1495208307
34 ST-HERALD SQ01-03-02,1558761301,1558763176
BEDFORD AVE00-06-03,837263381,837263384
