BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
57 ST-7 AVE01-00-05,1224472883,1224474953
34 ST-HERALD SQ01-03-02,1558691923,1558695257
BROOKLYN BRIDGE00-03-04,1861291341,1861294412
BROOKLYN BRIDGE00-03-04,1861301819,1861303004
57 ST-7 AVE01-00-04,1895644057,1895645817
42 ST-PA BUS TE00-00-08,419083946,419088662
149 ST-3 AVE01-00-02,1946084516,1946088103
GRAND AV-NEWTON00-06-01,59487093,59488548
23 ST-6 AVE00-00-02,1827841961,1827844204
GRAND AV-NEWTON00-06-01,59473901,59476222
23 ST-6 AVE00-00-02,1827847519,1827849847
LEXINGTON-53 ST01-03-04,335295931,335298476
42 ST-PA BUS TE00-00-05,1559982628,1559983472
FLATBUSH AVE01-00-01,1508966675,1508968242
BUHRE AVE00-00-00,1804,896303
14 ST00-00-00,1229184109,1229186333
104 ST00-00-02,2026247728,2026248122
LEXINGTON-53 ST01-03-04,335301635,335303877
