BAD DATA!
Station/Turnstile, Last Turnstile Count of Day, First Turnstile Count of Day
104 ST00-00-02,2026246519,2026246904
104 ST00-00-02,2026248140,2026248552
EUCLID AVE00-00-02,1495187313,1495188810
FRANKLIN AVE00-00-00,267941888,267944473
149 ST-3 AVE01-00-02,1946088180,1946089304
149 ST-3 AVE01-00-02,1946075026,1946077737
BROOKLYN BRIDGE00-03-04,1861301001,1861301796
34 ST-HERALD SQ01-03-02,1558709328,1558712789
42 ST-TIMES SQ01-00-01,1894961803,1894963877
125 ST00-00-00,1694176339,1694178656
34 ST-HERALD SQ01-03-02,1558700638,1558704132
STILLWELL AVE02-00-01,258,2161677
LEXINGTON-53 ST01-03-04,335298839,335301308
57 ST-7 AVE01-00-05,1224483437,1224485615
42 ST-PA BUS TE00-00-08,419065448,419069412
42 ST-PA BUS TE00-00-05,1559978892,1559982467
42 ST-PA BUS TE00-00-05,1559975078,1559978652
FLATBUSH AVE01-00-01,1508975730,1508976271
125 ST00-00-03,2012248583,2012253075
57 ST-7 AVE01-00-04,1895646119,1895647891
125 ST00-00-03,2012253478,2012257753
125 ST00-00-03,2012268087,2012272368
EUCLID AVE00-00-02,1495184297,1495185791
59 ST-COLUMBUS00-06-00,417582483,417583282
LEXINGTON-53 ST01-03-04,335304881,335305852
57 ST-7 AVE01-00-04,1895642032,1895643743
174 ST00-00-02,690347860,690348554
161 ST-YANKEE00-00-01,1401929040,1401930115
BEDFORD AVE00-06-05,797,247463
GRAND AV-NEWTON00-06-01,59485873,59486933
JAMAICA-179 ST01-03-02,1291598421,1291598851
59 ST-COLUMBUS00-06-00,417584363,417584980
104 ST00-00-02,2026247285,2026247708
LEXINGTON AVE00-00-01,1761263525,1761266586
42 ST-PA BUS TE00-00-04,49977273,49981495
125 ST00-00-00,1694181070,1694183214
14 ST00-00-00,1229181117,1229183576
FRANKLIN AVE00-00-00,267939034,267941443
LEXINGTON AVE00-00-01,1761248797,1761251769
JAMAICA-179 ST01-03-02,1291598872,1291599310
161 ST-YANKEE00-00-01,1401926180,1401927668
42 ST-PA BUS TE00-00-04,49981810,49985821
CORTLANDT ST02-05-00,1058668434,1058668435
EUCLID AVE00-00-02,1495188904,1495190358
GRAND AV-NEWTON00-06-01,59478650,59481010
LEXINGTON-53 ST01-03-04,335290063,335292624
57 ST-7 AVE01-00-00,888898280,888899656
42 ST-TIMES SQ01-00-01,1894956812,1894958831
JAMAICA-179 ST01-03-02,1291599329,1291599785
174 ST00-00-02,690343576,690344888
42 ST-PA BUS TE00-00-08,419074233,419078377
161 ST-YANKEE00-00-01,1401922808,1401924434
CORTLANDT ST02-05-00,1058668433,1058668434
125 ST00-00-03,2012275354,2012278060
42 ST-TIMES SQ01-00-01,1894966236,1894967011
125 ST00-00-03,2012258182,2012263009
161 ST-YANKEE00-00-01,1401927744,1401928574
LEXINGTON AVE00-00-01,1761255894,1761259356
57 ST-7 AVE01-00-05,1224485875,1224486805
BEDFORD AVE00-06-03,837244473,837245632
FULTON ST04-02-02,1604,71821
125 ST00-00-00,1694171246,1694173653
BEDFORD AVE00-06-03,837239379,837240866
59 ST-COLUMBUS00-06-00,417585093,417585754
EUCLID AVE00-00-02,1495191972,1495192552
EUCLID AVE00-00-02,1495185896,1495187198
42 ST-TIMES SQ01-00-01,1894954321,1894956397
23 ST-6 AVE00-00-02,1827856767,1827857755
34 ST-HERALD SQ01-03-02,1558715867,1558717984
42 ST-TIMES SQ01-06-01,2530,2687274
125 ST00-00-00,1694184764,1694186289
23 ST-6 AVE00-00-02,1827855673,1827856493
104 ST00-00-02,2026248560,2026248720
149 ST-3 AVE01-00-02,1946077944,1946081386
FRANKLIN AVE00-00-00,267935210,267938768
174 ST00-00-02,690342368,690343540
42 ST-PA BUS TE00-00-08,419088970,419090369
FRANKLIN AVE00-00-00,267927059,267931004
GRAND AV-NEWTON00-06-01,59476330,59478538
57 ST-7 AVE01-00-04,1895650134,1895651022
59 ST-COLUMBUS00-06-00,417586919,417587361
EUCLID AVE00-00-02,1495192667,1495193455
57 ST-7 AVE01-00-00,888896664,888897923
23 ST-6 AVE00-00-02,1827850399,1827852867
FRANKLIN AVE00-00-00,267918807,267922660
LEXINGTON-53 ST01-03-04,335293035,335295530
42 ST-PA BUS TE00-00-05,1559971865,1559974858
JAMAICA-179 ST01-03-02,1291600818,1291601020
57 ST-7 AVE01-00-05,1224487109,1224488203
59 ST-COLUMBUS00-06-00,417583477,417584208
BROOKLYN BRIDGE00-03-04,1861294836,1861298090
42 ST-PA BUS TE00-00-05,1559968625,1559971643
57 ST-7 AVE01-00-00,888893898,888896389
57 ST-7 AVE01-00-05,1224478050,1224480239
57 ST-7 AVE01-00-04,1895651212,1895652191
104 ST00-00-02,2026246928,2026247268
23 ST-6 AVE00-00-02,1827844705,1827846980
34 ST-HERALD SQ01-03-02,1558704892,1558708559
BROOKLYN BRIDGE00-03-04,1861303355,1861305016
CANAL ST00-03-02,1535,220137
149 ST-3 AVE01-00-02,1946089522,1946091228
BEDFORD AVE00-06-03,837237696,837239191
EUCLID AVE00-00-02,1495190434,1495191905
23 ST-6 AVE00-00-02,1827853316,1827855499
JAMAICA-179 ST01-03-02,1291600662,1291600794
161 ST-YANKEE00-00-01,1401919146,1401920740
FRANKLIN AVE00-00-00,267922995,267926770
57 ST-7 AVE01-00-00,888887740,888890369
LEXINGTON AVE00-00-01,1761267857,1761268941
34 ST-HERALD SQ01-03-02,1558713302,1558715146
57 ST-7 AVE01-00-04,1895648146,1895649955
57 ST-7 AVE01-00-04,1895640030,1895641728
42 ST-PA BUS TE00-00-04,49987875,49989678
42 ST-TIMES SQ01-00-01,1894967343,1894968265
BEDFORD AVE00-06-03,837241040,837242565
FLATBUSH AVE01-00-01,1508968320,1508969985
BEDFORD AVE00-06-03,837235905,837237487
42 ST-PA BUS TE00-00-08,419078781,419083515
174 ST00-00-02,690341000,690342335
174 ST00-00-02,690346106,690347248
59 ST-COLUMBUS00-06-00,417585861,417586487
42 ST-PA BUS TE00-00-08,419090695,419092250
LEXINGTON-53 ST01-03-04,335303989,335304683
GRAND AV-NEWTON00-06-01,59481130,59483392
FLATBUSH AVE01-00-01,1508973622,1508975233
14 ST00-00-00,1229186794,1229188929
14 ST00-00-00,1229174942,1229177433
42 ST-PA BUS TE00-00-04,49968952,49972790
163 ST-AMSTERDM00-00-01,126,40499
42 ST-PA BUS TE00-00-04,49986099,49987471
42 ST-PA BUS TE00-00-08,419069809,419073872
125 ST00-00-00,1694183310,1694184564
BAY PKY-22 AVE01-06-00,394,2470677
GRAND AV-NEWTON00-06-01,59483521,59485796
FLATBUSH AVE01-00-01,1508971973,1508973563
FLATBUSH AVE01-00-01,1508970048,1508971898
AVE N01-04-00,3,33554475
57 ST-7 AVE01-00-00,888884570,888887172
104 ST00-00-02,2026248746,2026248949
LEXINGTON AVE00-00-01,1761259839,1761263111
161 ST-YANKEE00-00-01,1401920861,1401922550
125 ST00-00-03,2012272649,2012274879
JFK HOWARD BCH00-00-02,58,69230
FLATBUSH AVE01-00-01,1508975266,1508975658
149 ST-3 AVE01-00-02,1946081555,1946084321
42 ST-PA BUS TE00-00-05,1559983668,1559984798
174 ST00-00-02,690347286,690347786
BROOKLYN BRIDGE00-03-04,1861288137,1861290964
42 ST-PA BUS TE00-00-05,1559965515,1559968408
34 ST-HERALD SQ01-03-02,1558696131,1558699739
JAMAICA-179 ST01-03-02,1291600265,1291600653
LEXINGTON AVE00-00-01,1761252290,1761255400
14 ST00-00-00,1229189212,1229190641
57 ST-7 AVE01-00-00,888890911,888893436
42 ST-PA BUS TE00-00-04,49964711,49968580
125 ST00-00-00,1694178771,1694180915
FRANKLIN AVE00-00-00,267931280,267934964
BROOKLYN BRIDGE00-03-04,1861298345,1861301001
42 ST-TIMES SQ01-00-01,1894959329,1894961431
57 ST-7 AVE01-00-05,1224475460,1224477616
CORTLANDT ST02-05-00,1058668436,1058668437
BEDFORD AVE00-06-03,837242702,837243356
125 ST00-00-03,2012263337,2012267729
174 ST00-00-02,690344915,690346065
14 ST00-00-00,1229191096,1229192840
57 ST-7 AVE01-00-00,888881404,888883949
BEDFORD AVE00-06-03,837243356,837244218
42 ST-TIMES SQ01-00-01,1894964218,1894966088
125 ST00-00-00,1694173865,1694176145
42 ST-PA BUS TE00-00-04,49973097,49976931
59 ST-COLUMBUS00-06-00,417586516,417586815
161 ST-YANKEE00-00-01,1401924529,1401926077
14 ST00-00-00,1229178099,1229180495
LEXINGTON AVE00-00-01,1761266667,1761267618
57 ST-7 AVE01-00-05,1224480712,1224483012
JAMAICA-179 ST01-03-02,1291599803,1291600246
